Oil & gas producers%US%Anadarko Petroleum,43403.59,230
Oil & gas producers%US%Apache,32742.42,323
Oil & gas producers%US%Chevron,227014.7,15
Oil & gas producers%US%ConocoPhillips,86358.25,92
Oil & gas producers%US%Continental Resources,23067.29,482
Oil & gas producers%US%Devon Energy,27267.27,404
Oil & gas producers%US%EOG Resources,53579.45,176
Oil & gas producers%US%Exxon Mobil,422098.3,2
Oil & gas producers%US%Hess,26116.16,422
Oil & gas producers%US%Marathon Oil,24572.89,453
Oil & gas producers%US%Marathon Petroleum,25490.13,435
Oil & gas producers%US%Noble Energy,25620.62,433
Oil & gas producers%US%Occidental Petroleum,75289.38,108
Oil & gas producers%US%Phillips 66,43708.29,228
Oil & gas producers%US%Pioneer Natural Resources,26745.4,414
Oil & gas producers%US%Valero Energy,28286.65,385
Oil equipment & services%Canada%Enbridge,37829.91,270
Oil equipment & services%Canada%Transcanada,32214.76,331
Oil equipment & services%US%Baker Hughes,28360.38,383
Oil equipment & services%US%Halliburton,50107.51,196
Oil equipment & services%US%Kinder Morgan,33486.69,314
Oil equipment & services%US%National Oilwell Varco,33369.32,316
Oil equipment & services%US%Schlumberger,127377.9,48
Oil equipment & services%US%Williams Cos.,27773.64,395
Personal goods%France%Christian Dior,35002.08,293
Personal goods%France%L'Oreal,99197.51,71
Personal goods%France%LVMH,92323.66,82
Personal goods%Germany%Adidas,22708.58,488
Personal goods%Germany%Beiersdorf,24645.43,451
Personal goods%Italy%Luxottica,27636.55,396
Personal goods%Switzerland%Richemont,49875.57,198
Personal goods%Switzerland%Swatch Group,33735.79,306
Personal goods%US%Colgate-Palmolive,59463.64,156
Personal goods%US%Kimberly-Clark,41749.93,239
Personal goods%US%Nike,52257.87,182
Personal goods%US%V F,27249.95,405
Pharmaceuticals & biotechnology%Australia%CSL,31178.83,341
Pharmaceuticals & biotechnology%Canada%Valeant Pharmaceuticals International,44125.76,226
Pharmaceuticals & biotechnology%Denmark%Novo Nordisk,100804.35,68
Pharmaceuticals & biotechnology%France%Sanofi,138132.75,40
Pharmaceuticals & biotechnology%Israel%Teva Pharmaceutical,48971.54,202
Pharmaceuticals & biotechnology%Japan%Astellas Pharma,27155.61,408
Pharmaceuticals & biotechnology%Japan%Takeda Pharmaceutical,37511.42,271
Pharmaceuticals & biotechnology%Switzerland%Novartis,229770.37,14
Pharmaceuticals & biotechnology%Switzerland%Roche,258542.13,9
Pharmaceuticals & biotechnology%UK%AstraZeneca,81492.58,98
Pharmaceuticals & biotechnology%UK%GlaxoSmithKline,128915.78,45
Pharmaceuticals & biotechnology%UK%Shire,28866.9,375
Pharmaceuticals & biotechnology%US%Abbott Laboratories,59423.62,157
Pharmaceuticals & biotechnology%US%Abbvie,82036.94,97
Pharmaceuticals & biotechnology%US%Actavis,35919.7,285
Pharmaceuticals & biotechnology%US%Alexion Pharmaceuticals,30095.93,354
Pharmaceuticals & biotechnology%US%Allergan,37119.39,277
Pharmaceuticals & biotechnology%US%Amgen,93122.5,80
Pharmaceuticals & biotechnology%US%Biogen Idec,72305.69,115
Pharmaceuticals & biotechnology%US%Bristol Myers Squibb,86079.69,93
Pharmaceuticals & biotechnology%US%Celgene,56680.36,166
Pharmaceuticals & biotechnology%US%Eli Lilly,65908.81,132
Pharmaceuticals & biotechnology%US%Forest Laboratories,25001.55,443
Pharmaceuticals & biotechnology%US%Gilead Sciences,108972.2,60
Pharmaceuticals & biotechnology%US%Johnson & Johnson,277826.2,6
Pharmaceuticals & biotechnology%US%Merck,166938.9,33
Pharmaceuticals & biotechnology%US%Pfizer,205359.9,19
Pharmaceuticals & biotechnology%US%Regeneron Pharmaceuticals,29399.75,364
Real estate investment & services%Hong Kong%Cheung Kong,38398.49,266
Real estate investment & services%Hong Kong%Sun Hung Kai Properties,33122.29,320
Real estate investment & services%Japan%Mitsubishi Estate,33023.33,321
Real estate investment & services%Japan%Mitsui Fudosan,26951.53,411
Real estate investment trusts%France%Unibail-Rodamco,25274.67,438
Real estate investment trusts%US%American Tower,32340.07,329
Real estate investment trusts%US%Crown Castle International,24647.33,450
Real estate investment trusts%US%Public Storage,29031.61,369
Real estate investment trusts%US%Simon Property Group,51537.14,187
Software & computer services%Germany%SAP,99642.68,69
Software & computer services%Hong Kong%Tencent Holdings,129640.51,42
Software & computer services%India%Infosys Technologies,31408.58,338
Software & computer services%India%Tata Consultancy Services,69961.18,125
Software & computer services%India%Wipro,22296.19,496
Software & computer services%Japan%Yahoo Japan,27980.84,390
Software & computer services%South Korea%Naver,23968.32,467
Software & computer services%US%Adobe Systems,32720.79,324
Software & computer services%US%Cognizant Technology Solutions,30735.62,348
Software & computer services%US%Facebook,119943.2,49
Software & computer services%US%Google,313003.9,4
Software & computer services%US%IBM,200447.6,20
Software & computer services%US%Intuit,22021.97,500
Software & computer services%US%Microsoft,340216.8,3
Software & computer services%US%Oracle,182412.9,27
Software & computer services%US%Salesforce.com,34830.6,295
Software & computer services%US%Twitter,27459.59,400
Software & computer services%US%Yahoo,36237.17,282
Support services%Japan%Mitsubishi,30762.86,347
Support services%Japan%Mitsui,25913.8,426
Support services%US%Accenture,50468.25,193
Support services%US%Automatic Data Processing,37225.83,274
Technology hardware & equipment%Finland%Nokia,27820.32,393
Technology hardware & equipment%Japan%Canon,41326.73,243
Technology hardware & equipment%Netherlands%Asml Holding,41402.04,242
Technology hardware & equipment%South Korea%SK Hynix,24019.17,464
Technology hardware & equipment%Sweden%Ericsson,43763.46,227
Technology hardware & equipment%Taiwan%Mediatek,23187.22,479
Technology hardware & equipment%Taiwan%Taiwan Semiconductor Manufacturing,100899.13,67
Technology hardware & equipment%UK%ARM Holdings,23442.46,475
Technology hardware & equipment%US%Apple,478766.1,1
Technology hardware & equipment%US%Applied Materials,24723.96,447
Technology hardware & equipment%US%Cisco Systems,115465.9,56
Technology hardware & equipment%US%Corning,28957.46,371
Technology hardware & equipment%US%EMC,55570.92,169
Technology hardware & equipment%US%Hewlett-Packard,61326.05,147
Technology hardware & equipment%US%Intel,128347.1,46
Technology hardware & equipment%US%Micron Technology,25100.38,442
Technology hardware & equipment%US%Qualcomm,133358.4,41
Technology hardware & equipment%US%Texas Instruments,51014.86,191
Tobacco%India%ITC,46988.64,208
Tobacco%Japan%Japan Tobacco,62921.78,139
Tobacco%UK%British American Tobacco,104634.79,63
Tobacco%UK%Imperial Tobacco,38824.19,263
Tobacco%US%Altria Group,74592.44,109
Tobacco%US%Philip Morris International,129387.9,43
Tobacco%US%Reynolds American,28658.58,380
Travel & leisure%Hong Kong%Galaxy Entertainment,36765.84,278
Travel & leisure%Hong Kong%Sands China,60242.06,152
Travel & leisure%Japan%Central Japan Railway,24123.49,462
Travel & leisure%Japan%East Japan Railway,29172.86,365
Travel & leisure%UK%Compass Group,27225.09,406
Travel & leisure%US%Delta Air Lines,29430.97,362
Travel & leisure%US%Las Vegas Sands,65639.06,133
Travel & leisure%US%McDonald's,97038,73
Travel & leisure%US%Priceline.com,62147.91,142
Travel & leisure%US%Starbucks,55467.91,170
Travel & leisure%US%Wynn Resorts,22494.28,493
Travel & leisure%US%Yum! Brands,33317.91,318
Travel & leisure%US%Carnival,29418.94,363
,,
,,
