Asia%Japan%Mitsubishi UFJ Financial,156336.1,18,93846.4,67,74194.3,72,70862.9,87,77980.75,104
Europe%UK%Diageo,44630.1,147,51786.5,150,42025.2,158,60153.4,110,77907.17,105
Europe%Germany%Allianz,67703.3,85,89502,71,57015.7,111,54245.4,126,77544.32,106
Australia%Australia%National Australia Bank,43084.2,154,45062.3,179,53577,118,57064.8,121,77357.89,107
North America%US%Occidental Petroleum,39860.7,164,60187.2,116,68659.6,80,77225.9,76,75289.38,108
North America%US%Altria Group,0,0,0,0,42692.5,157,63149.7,101,74592.44,109
North America%US%Goldman Sachs,68435.1,83,65479,102,89794.2,56,61551.2,107,74183.38,110
Europe%France%EDF,103202.5,40,159118.4,29,101072.4,49,42125.4,171,73611.56,111
South America%Brazil%Itau Unibanco,0,0,0,0,88572.6,57,81709.1,69,73339.33,112
North America%US%Honeywell International,35525.2,187,42132.8,196,34611.3,213,47391.7,147,72537.63,113
North America%US%Honeywell International,0,0,0,0,34611.3,213,47391.7,147,72537.63,113
North America%US%American International Group,0,0,109091,51,0,0,58480.3,115,72466.63,114
North America%US%Biogen Idec,16207,481,0,0,0,0,30079.3,272,72305.69,115
Europe%Germany%Deutsche Telekom,71777.2,75,72906.9,88,59221.7,99,51945.5,130,72175.35,116
Europe%Spain%Telefonica,77124.1,64,137660.3,35,108322.9,48,74663.5,81,72038.12,117
South America%Brazil%Vale,0,0,0,0,162829.9,22,124504.2,38,71839.32,118
North America%US%eBay,54862,115,39625.9,213,35202.5,206,47604.8,145,71516.69,119
North America%US%Twenty-First Century Fox,0,0,0,0,0,0,0,0,71469.77,120
Europe%Spain%BBVA,70663.8,78,82845.9,78,51375,128,38960.5,194,70883.78,121
Europe%Russia%Rosneft,0,0,95913.4,65,84133.3,62,75652.6,79,70737.14,122
North America%Canada%Bank of Nova Scotia,39653.3,166,44706,182,51597,125,63546,99,70477.26,123
North America%US%Viacom,0,0,25391.2,361,21000.5,377,25890,333,70105.9,124
Asia%India%Tata Consultancy Services,20621.8,367,19779.5,481,34039.3,218,44903.3,158,69961.18,125
North America%US%United Parcel Service,51475,128,50553.2,154,45996.9,149,58430.3,116,69094.06,126
Asia%Japan%NTT DoCoMo,69030.7,80,69602.4,92,66734.7,83,72878.1,85,69002.43,127
Europe%UK%Glencore Xstrata,0,0,0,0,0,0,0,0,68359.3,128
Asia%Hong Kong%CNOOC,31743.9,217,65495.7,101,73521.5,75,91776.6,62,67111.78,129
Europe%France%GDF Suez,0,0,0,0,87499.9,59,58104.4,117,66043.04,130
Asia%China%China Life Insurance,0,0,109528.7,50,122532.9,41,73371.2,84,66032,131
North America%US%Eli Lilly,62488,95,58657,123,41766.9,160,46723.8,150,65908.81,132
North America%US%Las Vegas Sands,20074.8,379,26168.2,350,0,0,42259.9,170,65639.06,133
Asia%Japan%Honda Motor,0,0,52444.7,147,64800.2,87,69225.8,90,63919.29,134
Europe%UK%Barclays,75824.9,67,59132.8,119,65813.4,85,45969.9,155,63659.56,135
Europe%UK%BG Group,0,0,77562,84,58397.4,103,78569.3,73,63518.63,136
North America%US%Caterpillar,48174.9,139,48851.8,162,39263.8,175,68975.2,91,63380.36,137
North America%US%Caterpillar,0,0,0,0,39263.8,175,68975.2,91,63380.36,137
North America%US%Walgreen,43651.4,151,37761.7,224,36289.9,199,28893.5,299,63014.46,138
Asia%Japan%Japan Tobacco,35087.7,190,50133.1,159,37243.1,193,56625.5,123,62921.78,139
Asia%Japan%Japan Tobacco,0,0,0,0,37243.1,193,56625.5,123,62921.78,139
Europe%France%AXA,65594.6,87,75069.9,86,51035,129,39017.1,193,62904.85,140
Europe%Sweden%Hennes & Mauritz,26613.3,264,44953.7,180,47603.3,143,52700.5,129,62179.73,141
North America%US%Priceline.com,0,0,0,0,0,0,35730.7,218,62147.91,142
Asia%Japan%Nippon Telegraph & Telephone,0,0,68002.4,95,66374.5,84,60375.5,109,62019.67,143
North America%US%Medtronic,61255.8,98,54320.8,138,49601.9,136,40780.7,178,61590.12,144
North America%US%E I Du Pont de Nemours,0,0,0,0,33718.9,223,49463.8,140,61482.06,145
North America%US%Morgan Stanley,66180.4,86,50512.3,156,40950,166,38860.4,197,61481,146
North America%US%Hewlett-Packard,93055,45,112565.4,48,124641.6,39,47120,148,61326.05,147
North America%US%Ford Motor,0,0,0,0,41448.5,161,46719.4,151,60553.87,148
Asia%Japan%Sumitomo Mitsui Financial,81798.6,59,50969.7,152,46761.9,146,46788.6,149,60538.56,149
Asia%South Korea%Hyundai Motor,19763.1,389,0,0,24855,316,45297.5,156,60521,150
Asia%South Korea%Hyundai Motor,0,0,0,0,24855,316,45297.5,156,60521,150
South America%Brazil%Bradesco,33294.7,205,53549.2,143,56527.9,112,62068.7,102,60410.51,151
Asia%Hong Kong%Sands China,0,0,0,0,0,0,31465.5,258,60242.06,152
Europe%Switzerland%ABB,26060.7,272,62426.5,108,50964.8,130,47428.6,146,59746.49,153
Europe%Switzerland%ABB,0,0,0,0,50964.8,130,47428.6,146,59746.49,153
North America%US%Monsanto,22829.6,319,61101.2,112,38972,177,42704.4,166,59718.9,154
North America%US%Metlife,36662.5,182,42734.4,191,35638.1,204,39719.4,186,59492.19,155
North America%US%Colgate-Palmolive,29426.8,231,39720.1,212,41966.4,159,46714.6,152,59463.64,156
North America%US%Colgate-Palmolive,0,0,0,0,41966.4,159,46714.6,152,59463.64,156
North America%US%Abbott Laboratories,65345.4,88,85247.4,76,81793.2,64,96369.7,56,59423.62,157
North America%US%Dow Chemical,39277.4,169,34624.5,247,34014.2,220,41061.3,177,58768.83,158
North America%US%Mondelez International,0,0,0,0,0,0,0,0,58768.71,159
Europe%UK%Reckitt Benckiser,25300.9,279,39425.7,217,39765.5,173,41201.8,176,58682.59,160
Australia%Australia%Telstra,34248.8,198,41446.1,202,34148.7,217,42409.6,168,58586.15,161
Australia%Australia%Telstra,0,0,0,0,34148.7,217,42409.6,168,58586.15,161
North America%US%Time Warner,74179,73,50140,158,35967.7,203,36458.5,211,58317.54,162
North America%US%Express Scripts,0,0,0,0,27972.6,271,26290.4,326,58233.2,163
Europe%Sweden%Nordea Bank,33422.7,203,42178,194,39970.3,170,36689,210,57342.86,164
Asia%Hong Kong%AIA Group,0,0,0,0,0,0,44133.3,160,57137.62,165
North America%US%Celgene,0,0,24746.4,370,28484.9,266,34016.6,229,56680.36,166
Asia%Hong Kong%Hutchison Whampoa,39090.8,170,40344.6,208,31187.2,237,42611.6,167,56445.2,167
Asia%Hong Kong%Hutchison Whampoa,0,0,0,0,31187.2,237,42611.6,167,56445.2,167
Europe%France%Airbus,0,0,0,0,0,0,0,0,56144.22,168
North America%US%EMC,32395.1,212,30122.2,295,36973.7,196,61902,105,55570.92,169
North America%US%EMC,0,0,0,0,36973.7,196,61902,105,55570.92,169
North America%US%Starbucks,28725.3,240,0,0,18042.3,439,42107.5,172,55467.91,170
North America%US%Starbucks,0,0,0,0,18042.3,439,42107.5,172,55467.91,170
Europe%Italy%Intesa Sanpaolo,0,0,89994.7,69,47011.6,144,29179.8,289,55227.97,171
Asia%China%Ping An Insurance,0,0,54247.2,140,57386.2,107,51462.7,131,54855.46,172
North America%US%General Motors,0,0,0,0,0,0,40161.8,183,54720.51,173
Europe%Netherlands%ING,86985.7,54,84358.2,77,38315.7,183,31863.2,257,54397.23,174
Europe%UK%Prudential,28043,247,32671.4,271,21030.6,375,30432.7,267,54151,175
Europe%UK%Prudential,0,0,0,0,21030.6,375,30432.7,267,54151,175
North America%US%EOG Resources,17463.5,446,29642.3,304,23475.5,332,29925.4,274,53579.45,176
North America%US%Eog Resources,0,0,0,0,23475.5,332,29925.4,274,53579.45,176
Europe%Russia%Sberbank Of Russia,29237.5,232,69637.1,91,65214.1,86,72185.5,86,53397.04,177
Europe%Italy%ENEL,52093.5,126,65862.9,100,52678,122,33959.5,230,53239.72,178
Europe%Italy%Unicredit,0,0,0,0,57134.2,109,28944.7,298,52977.6,179
North America%US%BlackRock,0,0,23946.8,385,41371.4,162,36724.5,209,52678.12,180
North America%US%Danaher,19420.9,394,24200.4,379,25849.5,298,38743.1,198,52386.12,181
North America%US%Danaher,0,0,0,0,25849.5,298,38743.1,198,52386.12,181
North America%US%Nike,16474.6,471,26672.4,339,29213.5,259,49764.6,138,52257.87,182
North America%US%Lockheed Martin,32825.2,208,40526.6,205,31105.2,238,29173.3,290,52117.42,183
North America%US%Lockheed Martin,0,0,0,0,31105.2,238,29173.3,290,52117.42,183
Asia%Japan%KDDI,23600.1,311,27441.2,330,23230.4,337,29210.3,287,52048.84,184
